movie_name,domestic,worldwide_gross,Distributor,movie_id,titleType,runtimeMinutes,genres,Rating,numVotes,Action,Adult,Adventure,Animation,Biography,Comedy,Crime,Drama,Family,Fantasy,Film-Noir,History,Horror,Music,Musical,Mystery,Romance,Sci-Fi,Sport,Thriller,War,Western,Certification,month_number,budget,G,NC-17,PG,PG-13,R,success
The Super Mario Bros. Movie,574934330,1361992475,Universal Pictures,tt6718170,movie,92,"Adventure,Animation,Comedy",7,292005,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PG,4,100000000,0,0,1,0,0,1
Theater Camp,4009945,4406374,Searchlight Pictures,tt21232992,movie,92,Comedy,6.9,19539,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PG,7,5000000,0,0,1,0,0,0
65,32062904,60730568,Sony Pictures Releasing,tt12261776,movie,93,"Action,Adventure,Sci-Fi",5.4,106409,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,PG-13,3,45000000,0,0,0,1,0,0
Strays,23988885,36071267,Universal Pictures,tt15153532,movie,93,"Adventure,Comedy",6.3,37686,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,R,8,46000000,0,0,0,0,1,0
Renfield,17297895,26493921,Universal Pictures,tt11358390,movie,93,"Action,Comedy,Fantasy",6.4,119425,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,R,4,65000000,0,0,0,0,1,0
You Hurt My Feelings,4830788,5742597,A24,tt15771916,movie,93,"Comedy,Drama,Romance",6.5,17507,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,PG,5,25000000,0,0,1,0,0,0
Hypnotic,4500169,16281937,Ketchup Entertainment,tt8080204,movie,93,"Action,Drama,Mystery",5.5,46335,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,R,5,65000000,0,0,0,0,1,0
The Amazing Maurice,4303645,21122082,Viva Pictures,tt10473036,movie,93,"Adventure,Animation,Comedy",6.2,6622,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PG,2,17000000,0,0,1,0,0,0
Cocaine Bear,64670240,88314672,Universal Pictures,tt14209916,movie,95,"Comedy,Crime,Thriller",5.9,126305,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,R,2,35000000,0,0,0,0,1,1
Wish,60609147,254997360,Walt Disney Studios Motion Pictures,tt11304740,movie,95,"Adventure,Animation,Comedy",5.5,50195,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,G,11,200000000,1,0,0,0,0,0
Talk to Me,48299436,92181735,A24,tt10638522,movie,95,"Horror,Thriller",7.1,213488,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,R,7,4500000,0,0,0,0,1,1
Joy Ride,12897789,15787929,Lionsgate,tt15268244,movie,95,Comedy,6.4,30747,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,R,7,32000000,0,0,0,0,1,0
The Quiet Girl,1500014,6807187,Neon,tt15109082,movie,95,Drama,7.7,28620,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PG,2,20000000,0,0,1,0,0,0
Maybe I Do,1293722,4450096,Vertical Entertainment,tt20879602,movie,95,"Comedy,Romance",5,11665,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,PG,1,7500000,0,0,1,0,0,0
Evil Dead Rise,67233054,147033054,Warner Bros.,tt13345606,movie,96,Horror,6.5,166843,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,R,4,17000000,0,0,0,0,1,1
The Blackening,17707207,18169453,Lionsgate,tt11703244,movie,97,"Comedy,Horror,Mystery",6,27071,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,R,6,5000000,0,0,0,0,1,1
Nefarious,5433685,6016438,SDG Releasing,tt14537248,movie,97,"Drama,Horror,Thriller",6.4,39046,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,R,4,1000000,0,0,0,0,1,1
Eileen,1425273,1560142,Neon,tt5198890,movie,97,"Drama,Mystery,Romance",5.9,20121,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,R,12,16000000,0,0,0,0,1,0
The Boogeyman,43244282,67307243,20th Century Studios,tt3427252,movie,98,"Horror,Mystery,Thriller",5.9,53476,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,PG-13,6,35000000,0,0,0,1,0,0
80 for Brady,39330588,40362938,Paramount Pictures,tt18079362,movie,98,"Comedy,Drama,Sport",5.9,13946,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,PG,2,28000000,0,0,1,0,0,0
Teenage Mutant Ninja Turtles: Mutant Mayhem,118613586,180513586,Paramount Pictures,tt8589698,movie,99,"Action,Adventure,Animation",7.2,77850,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PG,8,43000000,0,0,1,0,0,1
Journey to Bethlehem,6816475,7778330,Affirm Films,tt13848804,movie,99,"Adventure,Family,Musical",6.5,3908,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,PG,11,6000000,0,0,1,0,0,0
It Lives Inside,4675092,7370148,Neon,tt15683734,movie,99,"Drama,Horror,Thriller",5.2,9099,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,PG-13,9,30000000,0,0,0,1,0,0
Knock at the Cabin,35397980,54760715,Universal Pictures,tt15679400,movie,100,"Horror,Mystery,Thriller",6.1,141115,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,R,2,20000000,0,0,0,0,1,1
Golda,4801781,7726354,Bleecker Street Media,tt14454876,movie,100,"Biography,Drama,History",6,15150,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,PG,8,14000000,0,0,1,0,0,0
Skinamarink,2052272,2116254,IFC Films,tt21307994,movie,100,"Horror,Mystery",4.7,20772,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,PG,1,15000,0,0,1,0,0,1
Camp Hideout,1125010,1128626,Roadside Attractions,tt14051976,movie,100,"Comedy,Family",4.3,1204,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,PG,9,3500000,0,0,1,0,0,0
Elemental,154426697,496444308,Walt Disney Studios Motion Pictures,tt15789038,movie,101,"Adventure,Animation,Comedy",7,163628,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PG,6,200000000,0,0,1,0,0,0
Mafia Mamma,3496761,6119082,Bleecker Street Media,tt13923456,movie,101,"Action,Comedy,Crime",5.5,14063,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,R,4,41000000,0,0,0,0,1,0
